"","avg_price","coral_cover","dist_to_reef","dive_site","beach_width","near_dist_beach","dist_to_access_points","class","rating","num_reviews","number_rooms","air_trans","bar","beachfront","biz_center","breakfast","concierge","conference","free_parking","gym","laundry","mtg_rooms","multilingual","no_smoke","wheelchair","wifi","dist_to_airport"
"84",279,79328159.5,1106.951214,"0",6.32265065,1058.171806,1223.830764,3.5,4.5,874,13,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1",171999.8408
"85",309,78315741.9,1579.476303,"0",1.63698679,1542.928618,1706.742817,2,3.5,178,6,"0","1","0","0","0","0","0","0","0","0","0","0","1","0","1",172478.7326
"86",328,81904695.57,350.8456385,"0",14.16258646,239.5727784,410.0682423,2.5,4.5,480,12,"0","0","0","0","1","0","0","1","0","0","0","0","1","1","1",171125.4706
"87",301.5,87459954.91,1533.575071,"0",9.93737748,1500.409503,1531.390565,3,4.5,607,8,"0","0","0","0","1","0","0","1","0","0","0","0","1","0","1",172417.5494
"88",272,82159333.85,14.39476867,"0",2.49123307,1815.76257,1827.665377,2.5,3.5,1349,78,"0","1","1","0","0","0","0","1","0","0","0","1","1","1","1",172707.3579
"89",374.5,86691748.77,1275.319451,"0",1.70468338,1230.3449,1412.20005,3,4.5,458,38,"0","1","0","0","0","0","0","0","0","1","0","1","1","0","1",172166.9516
"90",284,86220308.81,1410.856401,"0",8.52240574,1382.186013,1446.688723,3,3.5,344,10,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1",172327.4988
"91",294,87506240.46,1460.766447,"0",9.04251787,1423.880553,1458.960886,3.5,4.5,974,9,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1",172330.933
"92",282,81889408.2,210.1914325,"0",6.626071973,159.040102,212.0986034,2,4.5,1141,32,"0","0","0","0","1","0","0","1","0","1","0","0","1","0","1",171071.4917
"93",311,81723143.8,696.2906635,"0",12.0139791,648.9084423,794.2956209,2.5,4.5,866,10,"0","0","0","0","1","0","0","1","0","0","0","0","1","0","1",171508.6268
"94",266.5,81579608.22,877.2958698,"0",20.14947179,809.3343431,877.5026626,3.5,4.5,570,10,"0","0","0","0","1","0","0","1","0","0","0","1","1","0","1",171701.1467
"95",334.5,81625818.37,663.6766619,"0",11.97374013,638.0619016,660.9603148,3.5,5,608,9,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1",171558.5878
"96",249.5,83156663.07,167.1503673,"0",10.8057766,125.8578404,167.6184043,2,4,1295,54,"0","0","0","0","1","0","0","1","0","1","0","0","1","1","1",171047.7492
"97",209.5,81920234.17,310.9953641,"0",12.20842691,239.3197492,462.0960092,1.5,3,342,14,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","1",171110.3406
"98",226.5,81841610.51,355.3837027,"0",0.602697946,342.9708082,385.6564762,3,5,618,7,"0","1","0","0","1","0","0","1","0","0","0","1","1","1","1",171262.4274
"99",222,82331347.91,230.9197726,"0",15.60747345,184.6668693,489.2032649,2,3.5,660,30,"0","0","0","0","0","0","0","1","0","0","0","0","1","0","1",171041.124
"100",269.5,85685240.76,1255.954459,"0",13.43417606,1211.629545,1318.891132,3,4.5,504,13,"0","0","0","0","1","0","0","1","0","0","0","0","1","0","1",172062.8119
"101",2425,54503074.22,608.1316585,"1",119.8861407,150.3317639,627.2980885,5,4.5,3226,375,"0","1","1","1","0","1","1","0","1","1","1","1","1","1","0",15037.04162
"102",1884,54832048.49,652.9575953,"1",56.45081882,168.2967131,221.8660393,5,4.5,4165,395,"1","1","1","1","0","1","1","0","1","1","1","1","1","1","0",15184.56573
"103",1547.5,54139462.68,1433.284442,"1",111.9034655,979.9341972,1075.413745,5,4,186,25,"0","0","0","0","0","0","0","0","0","1","0","1","1","0","1",14248.79005
"104",1398.5,63097949.69,537.6743692,"1",108.8782397,264.6533337,556.0000508,4,5,7,4,"0","0","1","0","1","0","0","0","0","0","0","0","0","0","1",14870.82466
"105",1391.5,54400818.94,679.1425207,"1",90.49583149,218.1757251,232.2626063,4,4.5,1253,133,"1","1","1","1","0","1","1","0","1","1","1","1","1","1","1",15071.2087
"106",1294.5,54900021.51,707.3027731,"1",34.62814463,189.8014584,353.5780697,5,4.5,4321,426,"0","1","1","1","0","1","1","0","1","1","1","1","1","1","1",15218.68836
